,solution_id,random_index,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,teff_val,lum_val,class
12692,1635721458409799680,12692,5123452850878106752,35.65560179425901,-22.743459336855047,14.55079,15.084101,13.881187,1.2029133,0.5333109,0.6696024,4882.3335,0.24388658,K
12697,1635721458409799680,12697,199812293909185408,71.74566876450251,39.51589836778561,15.673285,16.57824,14.725212,1.8530273,0.9049549,0.94807243,3907.75,,K
12698,1635721458409799680,12698,5283868676805537280,90.55868374778528,-67.58995499166465,15.1975355,15.998016,14.330414,1.6676025,0.80048084,0.8671217,4175.5464,,K
12707,1635721458409799680,12707,5646350821221907072,130.4629486684444,-26.393914769833096,16.869816,17.17933,16.374321,0.80500984,0.309515,0.49549484,5974.25,,G
12744,1635721458409799680,12744,1918025986581763712,349.0109861646074,39.441003234269346,16.626356,17.031233,16.059946,0.9712868,0.4048767,0.56641006,5361.5,,G
12780,1635721458409799680,12780,5903443852706059008,226.25528371246048,-47.82526644097121,16.074898,16.533737,15.455606,1.0781307,0.45883942,0.6192913,5220.0,,G
12783,1635721458409799680,12783,4047139612822411008,279.2322731857265,-30.753314311070408,16.432503,16.911844,15.819297,1.0925474,0.4793415,0.6132059,5008.395,,K
12796,1635721458409799680,12796,445431234365594368,56.466865236777124,55.68482771313504,16.967758,17.864643,16.011353,1.8532906,0.8968849,0.95640564,3914.2898,0.3466952,K
12799,1635721458409799680,12799,3771443153786713856,149.4892777484329,-8.209712401630979,15.033975,15.426101,14.476087,0.9500141,0.39212608,0.55788803,5379.0,2.0851474,G
12807,1635721458409799680,12807,1870707301106772352,312.00631772895935,36.106551056465605,16.193598,16.883522,15.390338,1.4931841,0.68992424,0.80325985,4439.5,0.38289228,K
12816,1635721458409799680,12816,996938054877199872,90.03433652946374,55.173743751661355,15.983359,16.313303,15.241406,1.0718966,0.32994366,0.7419529,5046.3335,0.81462187,K
12820,1635721458409799680,12820,3242551432030501760,78.41250324144677,9.149126436739975,16.354134,16.798615,15.756372,1.042242,0.4444809,0.59776115,5099.2046,,K
12822,1635721458409799680,12822,3366828887721764608,106.13235044975879,20.803989887568793,14.592373,14.85796,14.15876,0.6991997,0.26558685,0.43361282,6190.0,2.2835917,F
12836,1635721458409799680,12836,5891619777713549568,218.34285390962464,-57.17201792694132,14.573495,16.46899,13.260714,3.2082767,1.8954954,1.3127813,3634.9348,,M
12859,1635721458409799680,12859,1820592042131869056,296.99289554999973,16.026366327008432,17.033945,17.478365,16.434372,1.043993,0.44441986,0.59957314,5444.1636,,G
12861,1635721458409799680,12861,1948234862399362432,328.92252385606946,34.402949248638,15.837779,16.254698,15.258476,0.99622154,0.41691875,0.5793028,5353.0,2.3691554,G
12868,1635721458409799680,12868,5646867355472814592,128.21400612318632,-26.545277056665483,16.43507,16.88356,15.837727,1.0458336,0.44849014,0.59734344,5092.74,0.43216437,K
12878,1635721458409799680,12878,6581277244925022976,315.6483317137253,-41.61129410777463,15.159326,15.461556,14.694622,0.7669344,0.30223083,0.46470356,6093.5,2.1201372,F
12902,1635721458409799680,12902,5601122449080337024,119.3237574981909,-27.193344679911025,14.710256,14.9458885,14.273323,0.67256546,0.2356329,0.43693256,6474.0,2.508418,F
12918,1635721458409799680,12918,4077675009282498048,278.92743018597486,-23.19772188539778,16.878244,17.45407,15.943778,1.5102911,0.57582474,0.93446636,4467.5,,K
12924,1635721458409799680,12924,4268850222704948224,286.9537369450339,2.468858846398477,15.779185,17.086933,14.629206,2.4577274,1.3077478,1.1499796,3600.0,,M
12926,1635721458409799680,12926,926082123969867648,118.96542802963793,43.996089214766016,16.386122,16.990374,15.657859,1.3325148,0.60425186,0.7282629,4841.27,0.19898564,K
12934,1635721458409799680,12934,5571494218471085184,92.55295728978466,-42.22293479249885,9.485104,10.086523,8.785434,1.3010893,0.60141945,0.69966984,4757.4937,27.59122,K
12938,1635721458409799680,12938,4250017302151787008,304.4707957583595,6.932054816884581,13.537419,13.928818,12.991113,0.93770504,0.39139843,0.5463066,5435.5,5.883391,G
12945,1635721458409799680,12945,4079572040407799808,279.9184017565597,-21.702068904521614,16.160395,16.886477,15.311442,1.5750341,0.72608185,0.8489523,4336.6665,,K
